filepath,split,tasks/case category,tasks/malignancy,original_filepath,original_split,case category,malignancy,mask_path,original_image_size,original_mask_path
images/000000.tiff,train,1,0,benign/benign (1).png,train,benign,no malignant finding,masks/000000.tiff,"(562, 471)",benign/benign (1)_mask.png
images/000001.tiff,test,1,0,benign/benign (10).png,train,benign,no malignant finding,masks/000001.tiff,"(683, 585)",benign/benign (10)_mask.png
images/000002.tiff,train,1,0,benign/benign (100).png,train,benign,no malignant finding,masks/000002.tiff,"(323, 473)",benign/benign (100)_mask.png
images/000003.tiff,train,1,0,benign/benign (101).png,train,benign,no malignant finding,masks/000003.tiff,"(563, 473)",benign/benign (101)_mask.png
images/000004.tiff,test,1,0,benign/benign (102).png,train,benign,no malignant finding,masks/000004.tiff,"(634, 610)",benign/benign (102)_mask.png
images/000005.tiff,train,1,0,benign/benign (103).png,train,benign,no malignant finding,masks/000005.tiff,"(766, 585)",benign/benign (103)_mask.png
images/000006.tiff,train,1,0,benign/benign (104).png,train,benign,no malignant finding,masks/000006.tiff,"(777, 578)",benign/benign (104)_mask.png
images/000007.tiff,train,1,0,benign/benign (105).png,train,benign,no malignant finding,masks/000007.tiff,"(882, 581)",benign/benign (105)_mask.png
images/000008.tiff,val,1,0,benign/benign (106).png,train,benign,no malignant finding,masks/000008.tiff,"(808, 716)",benign/benign (106)_mask.png
images/000009.tiff,train,1,0,benign/benign (107).png,train,benign,no malignant finding,masks/000009.tiff,"(759, 616)",benign/benign (107)_mask.png
images/000010.tiff,train,1,0,benign/benign (108).png,train,benign,no malignant finding,masks/000010.tiff,"(769, 582)",benign/benign (108)_mask.png
images/000011.tiff,train,1,0,benign/benign (109).png,train,benign,no malignant finding,masks/000011.tiff,"(562, 470)",benign/benign (109)_mask.png
images/000012.tiff,train,1,0,benign/benign (11).png,train,benign,no malignant finding,masks/000012.tiff,"(689, 587)",benign/benign (11)_mask.png
images/000013.tiff,test,1,0,benign/benign (110).png,train,benign,no malignant finding,masks/000013.tiff,"(555, 468)",benign/benign (110)_mask.png
images/000014.tiff,test,1,0,benign/benign (111).png,train,benign,no malignant finding,masks/000014.tiff,"(315, 477)",benign/benign (111)_mask.png
images/000015.tiff,train,1,0,benign/benign (112).png,train,benign,no malignant finding,masks/000015.tiff,"(652, 612)",benign/benign (112)_mask.png
images/000016.tiff,train,1,0,benign/benign (113).png,train,benign,no malignant finding,masks/000016.tiff,"(810, 695)",benign/benign (113)_mask.png
images/000017.tiff,train,1,0,benign/benign (114).png,train,benign,no malignant finding,masks/000017.tiff,"(757, 575)",benign/benign (114)_mask.png
images/000018.tiff,train,1,0,benign/benign (115).png,train,benign,no malignant finding,masks/000018.tiff,"(554, 469)",benign/benign (115)_mask.png
images/000019.tiff,train,1,0,benign/benign (116).png,train,benign,no malignant finding,masks/000019.tiff,"(766, 588)",benign/benign (116)_mask.png
images/000020.tiff,test,1,0,benign/benign (117).png,train,benign,no malignant finding,masks/000020.tiff,"(806, 688)",benign/benign (117)_mask.png
images/000021.tiff,test,1,0,benign/benign (118).png,train,benign,no malignant finding,masks/000021.tiff,"(653, 620)",benign/benign (118)_mask.png
images/000022.tiff,train,1,0,benign/benign (119).png,train,benign,no malignant finding,masks/000022.tiff,"(762, 585)",benign/benign (119)_mask.png
images/000023.tiff,train,1,0,benign/benign (12).png,train,benign,no malignant finding,masks/000023.tiff,"(678, 571)",benign/benign (12)_mask.png
images/000024.tiff,train,1,0,benign/benign (120).png,train,benign,no malignant finding,masks/000024.tiff,"(808, 695)",benign/benign (120)_mask.png
images/000025.tiff,train,1,0,benign/benign (121).png,train,benign,no malignant finding,masks/000025.tiff,"(646, 610)",benign/benign (121)_mask.png
images/000026.tiff,train,1,0,benign/benign (122).png,train,benign,no malignant finding,masks/000026.tiff,"(774, 577)",benign/benign (122)_mask.png
